"Date","Price","Open","High","Low","Vol.","Change %"
"01-08-2023","15,096.00","15,540.00","15,754.00","14,700.00","7.22K","-1.27%"
"31-07-2023","15,290.00","15,362.00","15,550.00","14,814.00","10.49K","3.51%"
"28-07-2023","14,772.00","14,360.00","14,772.00","14,360.00","5.33K","6.00%"
"27-07-2023","13,936.00","14,040.00","14,140.00","13,522.00","7.35K","-0.10%"
"26-07-2023","13,950.00","13,760.00","14,248.00","13,720.00","11.62K","2.69%"
"25-07-2023","13,584.00","12,800.00","13,584.00","12,760.00","9.58K","5.99%"
"24-07-2023","12,816.00","13,080.00","13,398.00","12,730.00","11.11K","-2.76%"
"21-07-2023","13,180.00","13,406.00","13,668.00","13,000.00","10.69K","0.21%"
"20-07-2023","13,152.00","12,860.00","13,532.00","12,766.00","14.35K","2.65%"
"19-07-2023","12,812.00","12,350.00","12,876.00","12,060.00","15.16K","5.45%"
"18-07-2023","12,150.00","12,062.00","12,380.00","11,722.00","12.46K","-0.48%"
"17-07-2023","12,208.00","12,314.00","12,514.00","11,900.00","16.18K","3.09%"
"14-07-2023","11,842.00","11,300.00","11,972.00","11,230.00","12.52K","4.83%"
"13-07-2023","11,296.00","10,846.00","11,506.00","10,720.00","9.76K","2.75%"
"12-07-2023","10,994.00","11,180.00","11,180.00","10,666.00","8.37K","1.08%"
"11-07-2023","10,876.00","10,400.00","10,944.00","10,400.00","12.11K","5.33%"
"10-07-2023","10,326.00","9,946.00","10,326.00","9,946.00","5.81K","5.99%"
"07-07-2023","9,742.00","9,534.00","9,798.00","9,460.00","6.09K","1.73%"
"06-07-2023","9,576.00","10,000.00","10,124.00","9,540.00","9.64K","-3.62%"
"05-07-2023","9,936.00","9,850.00","9,980.00","9,520.00","9.48K","0.69%"
"04-07-2023","9,868.00","9,852.00","10,050.00","9,720.00","8.35K","-1.38%"
"03-07-2023","10,006.00","10,050.00","10,376.00","9,850.00","7.90K","1.50%"
"30-06-2023","9,858.00","9,600.00","10,048.00","9,600.00","8.46K","3.57%"
"28-06-2023","9,518.00","9,300.00","9,838.00","9,300.00","8.57K","2.45%"
"27-06-2023","9,290.00","9,180.00","9,420.00","9,152.00","3.97K","1.07%"
"26-06-2023","9,192.00","9,300.00","9,450.00","9,108.00","6.61K","-1.33%"
"23-06-2023","9,316.00","9,402.00","9,512.00","9,110.00","6.77K","-1.15%"
"22-06-2023","9,424.00","9,600.00","9,718.00","9,304.00","5.91K","-1.30%"
"21-06-2023","9,548.00","8,960.00","9,560.00","8,800.00","8.36K","8.35%"
"20-06-2023","8,812.00","8,900.00","9,100.00","8,700.00","0.29K","-1.94%"
"19-06-2023","8,986.00","8,882.00","9,054.00","8,882.00","0.69K","5.20%"
"16-06-2023","8,542.00","8,400.00","8,600.00","8,290.00","0.32K","0.02%"
"15-06-2023","8,540.00","8,450.00","8,550.00","8,398.00","0.37K","5.02%"
"14-06-2023","8,132.00","7,722.00","8,132.00","7,720.00","2.16K","6.00%"
"13-06-2023","7,672.00","7,560.00","7,724.00","7,560.00","2.22K","1.54%"
"12-06-2023","7,556.00","7,600.00","7,600.00","7,512.00","2.51K","-0.92%"
"09-06-2023","7,626.00","7,556.00","7,738.00","7,554.00","3.39K","0.00%"
"08-06-2023","7,626.00","7,652.00","7,786.00","7,564.00","1.85K","-0.78%"
"07-06-2023","7,686.00","7,466.00","7,720.00","7,450.00","4.39K","2.84%"
"06-06-2023","7,474.00","7,512.00","7,524.00","7,440.00","2.71K","-0.64%"
"05-06-2023","7,522.00","7,530.00","7,614.00","7,496.00","2.32K","-0.21%"
"02-06-2023","7,538.00","7,604.00","7,692.00","7,516.00","4.47K","-2.63%"
"01-06-2023","7,742.00","7,980.00","7,980.00","7,656.00","2.77K","-2.91%"
"31-05-2023","7,974.00","7,882.00","7,996.00","7,832.00","2.01K","0.66%"
"30-05-2023","7,922.00","8,080.00","8,090.00","7,826.00","2.19K","-1.39%"
"29-05-2023","8,034.00","8,050.00","8,140.00","7,990.00","2.39K","-0.20%"
"26-05-2023","8,050.00","8,190.00","8,220.00","8,000.00","3.75K","-1.20%"
"25-05-2023","8,148.00","8,230.00","8,270.00","8,032.00","3.64K","-0.51%"
"24-05-2023","8,190.00","7,884.00","8,230.00","7,858.00","6.88K","4.38%"
"23-05-2023","7,846.00","7,896.00","7,896.00","7,626.00","4.94K","-1.03%"
"22-05-2023","7,928.00","8,180.00","8,180.00","7,770.00","5.65K","-3.58%"
"19-05-2023","8,222.00","8,190.00","8,382.00","8,110.00","5.31K","1.61%"
"18-05-2023","8,092.00","8,056.00","8,100.00","8,056.00","0.29K","-3.55%"
"17-05-2023","8,390.00","8,366.00","8,400.00","8,364.00","0.39K","0.77%"
"16-05-2023","8,326.00","8,200.00","8,350.00","8,200.00","0.24K","2.51%"
"15-05-2023","8,122.00","7,948.00","8,148.00","7,948.00","0.19K","3.65%"
"12-05-2023","7,836.00","7,480.00","7,882.00","7,400.00","2.24K","5.38%"
"11-05-2023","7,436.00","7,562.00","7,600.00","7,350.00","2.57K","-1.67%"
"10-05-2023","7,562.00","7,440.00","7,700.00","7,440.00","4.37K","2.00%"
"09-05-2023","7,414.00","7,420.00","7,550.00","7,372.00","2.31K","-0.64%"
"08-05-2023","7,462.00","7,402.00","7,556.00","7,338.00","3.17K","0.43%"
"05-05-2023","7,430.00","7,498.00","7,590.00","7,346.00","5.03K","0.03%"
"04-05-2023","7,428.00","7,188.00","7,478.00","7,188.00","3.70K","2.97%"
"03-05-2023","7,214.00","7,148.00","7,470.00","7,040.00","8.89K","1.26%"
"02-05-2023","7,124.00","6,730.00","7,130.00","6,730.00","6.28K","5.89%"
"28-04-2023","6,728.00","6,650.00","6,792.00","6,640.00","2.08K","0.87%"
"27-04-2023","6,670.00","6,730.00","6,744.00","6,640.00","1.44K","-1.01%"
"26-04-2023","6,738.00","6,510.00","6,798.00","6,452.00","4.03K","3.00%"
"25-04-2023","6,542.00","6,510.00","6,586.00","6,510.00","1.56K","-0.85%"
"24-04-2023","6,598.00","6,690.00","6,714.00","6,574.00","2.30K","-1.70%"
"21-04-2023","6,712.00","6,762.00","6,788.00","6,600.00","3.18K","0.24%"
"20-04-2023","6,696.00","6,670.00","6,722.00","6,658.00","0.64K","-0.06%"
"19-04-2023","6,700.00","6,786.00","6,816.00","6,650.00","2.06K","-0.86%"
"18-04-2023","6,758.00","6,760.00","6,760.00","6,740.00","0.23K","-0.32%"
"17-04-2023","6,780.00","6,874.00","6,874.00","6,768.00","0.62K","-0.44%"
"13-04-2023","6,810.00","6,758.00","6,838.00","6,750.00","0.71K","1.01%"
"12-04-2023","6,742.00","6,766.00","6,778.00","6,722.00","0.72K","0.42%"
"11-04-2023","6,714.00","6,768.00","6,798.00","6,680.00","5.74K","-0.97%"
"10-04-2023","6,780.00","6,950.00","7,110.00","6,752.00","4.59K","-2.14%"
"06-04-2023","6,928.00","6,952.00","6,990.00","6,904.00","2.43K","-0.06%"
"05-04-2023","6,932.00","6,898.00","6,968.00","6,890.00","1.63K","0.70%"
"03-04-2023","6,884.00","6,878.00","6,928.00","6,834.00","1.04K","0.41%"
"31-03-2023","6,856.00","6,830.00","6,900.00","6,806.00","1.28K","0.44%"
"29-03-2023","6,826.00","6,918.00","6,918.00","6,804.00","1.83K","-1.04%"
"28-03-2023","6,898.00","6,860.00","6,920.00","6,822.00","1.23K","0.64%"
"27-03-2023","6,854.00","6,906.00","7,012.00","6,822.00","1.97K","-0.61%"
"24-03-2023","6,896.00","7,026.00","7,162.00","6,880.00","3.45K","-1.51%"
"23-03-2023","7,002.00","6,920.00","7,038.00","6,920.00","1.38K","1.07%"
